aX,aY,aZ,gX,gY,gZ
-1.131,0.272,0.067,-6.653,568.359,104.492
-1.403,0.505,-0.267,-26.978,585.876,99.915
-1.702,0.583,-0.606,-33.386,592.285,79.529
-2.146,0.505,-0.982,-28.259,588.928,53.040
-2.857,0.317,-1.602,-25.513,587.830,33.447
-3.491,0.128,-2.566,-46.753,606.140,17.944
-3.828,-0.153,-3.669,-82.642,599.731,2.502
-3.659,-0.292,-4.000,-90.210,503.235,34.790
-3.129,-0.164,-4.000,-57.373,298.096,94.604
-2.179,0.240,-3.972,-17.456,62.866,122.009
-1.332,0.365,-2.684,16.541,-139.648,114.014
-0.627,0.367,-1.552,42.236,-262.451,94.360
-0.167,0.342,-0.658,41.504,-299.988,58.350
0.114,0.098,-0.224,28.076,-280.457,4.761
0.317,-0.146,0.030,19.470,-247.803,-33.691
0.400,-0.420,0.134,17.395,-212.769,-54.138
0.437,-0.548,0.126,13.977,-174.194,-52.917
0.469,-0.569,-0.001,7.874,-136.169,-42.786
0.497,-0.534,-0.158,6.042,-108.215,-31.982
0.508,-0.468,-0.307,9.399,-93.872,-23.010
0.510,-0.409,-0.415,17.456,-89.539,-17.090
