X,aY,aZ,gX,gY,gZ
-1.571,-1.546,1.159,74.768,-621.399,113.770
-1.666,-1.216,1.083,62.561,-549.316,182.983
-1.413,-0.092,1.093,35.034,-501.404,263.855
-0.974,0.693,1.552,33.875,-508.057,305.664
-0.746,0.974,2.283,41.626,-500.732,281.738
-0.694,0.812,3.104,50.476,-462.341,225.952
-0.596,0.795,3.121,35.034,-355.652,169.495
-0.365,0.946,2.754,9.216,-229.980,119.263
-0.407,0.860,2.530,4.700,-158.386,69.580
-0.020,-1.003,3.547,29.785,-65.796,25.513
0.125,0.490,1.655,17.029,238.159,26.794
-0.345,0.329,1.050,51.147,168.213,23.376
-0.139,0.042,1.271,69.702,69.275,1.282
-0.270,-0.013,1.067,51.880,8.240,-10.498
-0.078,0.087,1.083,26.550,-38.208,-10.010
0.108,0.265,1.117,12.146,-67.871,-3.479
0.026,0.205,1.500,10.132,-85.022,-14.282
-0.092,0.098,1.922,7.202,-57.678,-31.433
-0.020,0.065,1.652,-2.258,31.006,-47.180
-0.043,0.010,1.254,-1.221,92.712,-57.617
-0.052,-0.072,1.033,7.935,107.361,-59.753
-0.048,-0.108,0.883,18.066,102.234,-54.077
-0.029,-0.092,0.741,20.569,99.060,-47.485
-0.023,-0.131,0.745,11.841,95.581,-46.387
-0.028,-0.126,0.812,2.319,88.867,-42.297
-0.011,-0.089,0.888,-4.761,84.961,-36.804
0.015,-0.029,0.975,-8.972,81.665,-32.654
0.018,0.023,1.051,-9.094,76.477,-31.921
0.012,0.011,1.164,-6.531,72.388,-33.508
0.006,-0.027,1.292,-1.709,72.144,-35.706
0.000,-0.057,1.353,5.676,79.102,-35.339
-0.021,-0.061,1.354,13.489,93.750,-33.508
-0.034,-0.065,1.274,20.813,112.000,-32.837
-0.015,-0.082,1.182,24.231,129.700,-32.654
0.021,-0.099,1.121,22.888,143.616,-31.311
0.042,-0.102,1.144,15.137,154.053,-29.480
0.062,-0.123,1.168,3.723,163.635,-29.602
0.062,-0.147,1.214,-8.545,175.598,-29.968
0.091,-0.134,1.216,-19.104,191.833,-29.602
0.117,-0.073,1.155,-25.330,211.304,-29.114
0.120,-0.041,1.092,-25.330,226.990,-30.151
0.143,-0.073,1.040,-17.700,233.948,-29.846
0.335,-0.060,0.909,-5.066,234.314,-25.574
0.336,-0.039,0.772,8.667,226.379,-21.851
0.385,-0.028,0.750,16.418,212.097,-24.536
0.468,-0.061,0.749,21.118,198.181,-28.748
0.499,-0.163,0.726,24.475,186.340,-34.790
0.523,-0.212,0.684,18.311,182.312,-40.344
0.502,-0.186,0.683,3.906,185.608,-44.678
0.495,-0.133,0.710,-8.423,191.528,-48.645
0.499,-0.086,0.723,-13.550,196.655,-52.124
0.547,-0.062,0.685,-7.507,194.702,-54.260
0.627,-0.026,0.614,4.517,188.904,-57.007
0.654,0.020,0.557,12.756,185.242,-63.721
0.673,-0.007,0.497,17.212,182.068,-73.608
0.638,-0.158,0.335,17.517,175.720,-81.177
0.549,-0.237,0.284,4.456,169.800,-78.613
0.435,-0.332,0.312,-11.536,163.940,-68.176
0.554,-0.330,0.286,-19.409,157.532,-47.485
0.722,-0.209,0.328,-18.921,139.832,-25.513

-1.493,-0.788,2.270,-72.449,-641.479,99.060
-1.437,0.006,3.249,-123.474,-587.158,136.780
-1.073,0.638,3.701,-118.347,-473.450,159.729
-0.461,0.906,3.535,-65.430,-335.266,150.146
-0.272,0.919,3.262,0.061,-243.591,115.295
-0.310,0.703,3.047,41.565,-188.477,64.270
-0.385,0.220,2.670,64.392,-131.104,16.479
-0.324,-0.036,2.307,52.856,-71.533,-4.883
-0.326,-0.071,2.127,27.344,-36.682,-9.521
-0.262,-0.019,2.082,9.644,-17.700,-8.850
-0.175,0.015,2.078,5.310,-1.953,-8.545
-0.100,0.057,2.031,7.996,16.968,-9.766
-0.022,0.084,1.883,17.029,39.856,-11.902
0.047,0.102,1.663,27.344,62.073,-14.587
0.133,0.062,1.498,36.499,79.163,-16.968
0.202,-0.064,1.393,42.542,91.736,-15.259
0.174,0.060,1.310,43.518,105.225,1.221
0.169,0.134,1.196,35.522,121.277,5.981
0.171,0.090,1.041,29.236,137.939,-0.122
0.151,0.010,0.953,20.142,148.499,-5.737
0.117,-0.042,0.943,7.568,151.184,-4.700
0.123,-0.075,1.054,-6.531,150.146,-0.977
0.127,-0.100,1.144,-17.090,151.062,1.953
0.130,-0.096,1.206,-22.949,158.691,7.019
0.156,-0.047,1.255,-25.208,168.762,12.268
0.157,0.009,1.223,-22.156,176.208,15.015
0.167,0.049,1.104,-18.188,184.326,14.893
0.211,0.105,0.999,-16.174,190.308,12.085
0.230,0.126,0.928,-9.644,185.730,3.662
0.239,0.105,0.931,1.404,173.218,-6.104
0.264,0.019,0.978,9.949,160.767,-14.404
0.283,-0.039,1.037,6.836,157.776,-21.423
0.308,-0.127,1.070,0.732,165.649,-24.902
0.324,-0.200,1.086,-8.179,177.185,-24.902
0.302,-0.212,1.043,-22.034,192.566,-19.531
0.301,-0.176,0.971,-31.128,208.191,-11.658
0.330,-0.121,0.901,-34.302,222.839,-3.113
0.404,-0.095,0.878,-33.508,230.347,5.005
0.458,0.005,0.908,-42.297,232.300,8.850
0.443,0.023,0.848,-48.584,242.676,4.578
0.439,0.067,0.789,-54.504,257.446,-5.676
0.440,0.049,0.672,-54.016,274.902,-15.869
0.461,-0.007,0.515,-47.791,286.255,-26.367
0.499,-0.073,0.334,-47.729,290.405,-34.058
0.491,-0.110,0.167,-51.392,285.767,-36.316
0.526,-0.142,0.087,-57.922,274.719,-36.438
0.584,-0.169,0.006,-68.359,259.949,-33.936
0.613,-0.158,-0.063,-85.266,246.704,-29.785
0.655,-0.105,-0.114,-99.304,231.628,-25.879
0.702,-0.101,-0.201,-95.154,209.534,-20.203
0.698,-0.094,-0.252,-81.360,182.861,-12.390
0.704,-0.080,-0.290,-67.627,157.166,-5.310
0.734,-0.064,-0.329,-52.551,131.775,-0.916
0.760,-0.046,-0.335,-39.917,104.736,3.357
0.778,-0.007,-0.297,-31.921,77.759,8.179
0.804,0.034,-0.199,-24.719,54.382,10.742
0.810,0.031,-0.098,-12.390,35.889,9.827
0.830,-0.001,-0.041,0.916,25.146,7.019
0.835,0.003,0.008,9.583,21.240,6.592
0.842,0.021,0.053,18.677,16.907,8.057

-0.771,0.014,-2.318,-107.910,-377.502,50.842
-1.315,-0.016,-1.986,-1.770,-560.608,74.768
-1.510,-0.102,-1.076,102.783,-724.426,78.979
-1.639,-0.560,0.299,222.900,-867.371,65.796
-1.375,-1.306,1.895,331.482,-949.585,45.105
-0.984,-2.034,2.439,336.670,-943.726,36.194
-1.454,-1.278,3.518,191.956,-838.806,57.922
-1.610,-0.316,4.000,68.726,-682.800,97.778
-1.248,0.531,4.000,28.748,-479.187,119.751
-0.672,0.949,3.621,35.400,-258.301,109.497
-0.081,0.691,2.667,67.932,-100.891,61.584
0.139,0.260,1.844,49.255,-21.729,-0.549
0.104,0.127,1.472,-18.982,4.761,-46.692
0.004,0.081,1.342,-62.866,-10.620,-72.815
-0.096,0.002,1.391,-61.768,-52.185,-85.510
-0.141,-0.113,1.526,-36.865,-97.656,-88.623
-0.207,-0.175,1.675,-9.460,-125.671,-80.139
-0.247,-0.157,1.777,10.437,-129.211,-61.584
-0.322,-0.057,1.828,24.841,-108.948,-43.091
-0.355,-0.085,1.714,40.771,-65.308,-29.602
-0.232,-0.042,1.558,47.974,-14.343,-13.611
-0.005,0.003,1.270,50.781,25.818,-4.761
0.005,-0.028,1.002,50.415,45.776,-8.057
0.008,-0.069,0.864,36.865,56.519,-12.512
0.042,-0.102,0.823,20.752,53.040,-9.338
0.034,-0.055,0.888,10.681,37.415,0.366
0.045,0.025,1.005,2.380,27.771,7.202
0.068,0.076,1.080,-0.916,29.541,7.019
0.111,0.125,1.109,-0.305,36.987,1.648
0.084,0.138,1.117,3.174,43.091,-4.211
0.088,0.166,1.182,4.089,46.265,-11.108
0.041,0.168,1.240,10.254,47.546,-19.043
-0.004,0.130,1.268,17.395,53.833,-28.198
-0.102,0.042,1.222,23.865,67.810,-37.842
-0.134,-0.078,1.126,24.658,89.050,-46.692
-0.119,-0.216,1.030,23.682,108.154,-48.340
-0.115,-0.328,0.991,20.447,115.723,-41.138
-0.075,-0.361,1.002,8.667,118.530,-27.161
-0.036,-0.315,1.032,-5.188,120.728,-12.512
0.021,-0.245,1.078,-11.047,118.774,-1.160
0.035,-0.184,1.170,-8.972,111.633,6.775
0.041,-0.144,1.310,-4.944,107.483,12.268
0.023,-0.119,1.410,0.000,115.417,18.372
-0.005,-0.060,1.479,4.944,132.324,23.193
-0.026,0.002,1.505,7.751,155.640,23.926
-0.018,0.039,1.477,12.024,186.401,21.301
-0.050,0.047,1.375,12.451,219.421,13.428
-0.027,-0.094,1.240,15.015,250.793,3.174
0.064,-0.246,1.130,9.277,276.978,-0.488
0.063,-0.299,1.052,-16.052,302.307,2.808
0.059,-0.330,1.019,-40.649,321.655,5.859
0.072,-0.277,1.022,-59.937,336.243,12.756
0.085,-0.213,1.023,-67.322,352.234,23.560
0.069,-0.079,1.012,-66.162,368.042,32.288
0.268,-0.077,0.687,-41.565,396.729,37.170
0.549,-0.218,0.163,-11.597,436.279,50.476
0.679,-0.158,-0.151,-35.645,439.453,55.908
0.699,-0.084,-0.324,-53.650,401.245,53.589
0.704,0.026,-0.345,-48.096,336.853,43.396
0.661,0.012,-0.354,-20.142,266.052,23.132

0.101,0.481,-2.193,-96.130,-83.618,-48.706
-0.009,0.524,-2.301,-91.675,-176.636,-70.435
-0.332,0.399,-2.312,-17.273,-363.281,-74.036
-0.870,0.162,-1.784,76.172,-590.515,-86.731
-1.224,-0.124,-0.598,132.996,-770.020,-108.032
-1.215,-0.717,0.695,205.444,-879.944,-117.554
-1.311,-1.381,1.886,261.475,-901.978,-126.953
-1.160,-1.675,2.843,258.301,-837.952,-110.840
-1.237,-1.484,3.546,194.214,-707.520,-57.678
