X,aY,aZ,gX,gY,gZ
0.170,-0.188,1.179,-8.667,151.184,-11.169
0.253,-0.173,1.392,-5.798,157.043,-4.272
0.331,-0.176,1.572,5.554,177.734,-0.427
0.387,-0.111,1.686,16.663,211.243,1.343
0.373,-0.036,1.609,29.602,253.784,-1.099
0.326,-0.068,1.402,40.955,296.814,-7.202
0.232,-0.186,1.246,42.786,329.590,-12.634
0.146,-0.370,1.177,36.987,348.999,-11.047
0.183,-0.404,1.281,24.597,361.816,1.526
0.177,-0.402,1.418,21.973,374.817,21.301
0.188,-0.276,1.338,36.926,392.151,40.100
0.161,-0.172,1.076,55.847,408.936,50.659
0.159,-0.106,0.687,64.697,419.373,55.969
0.240,-0.040,0.371,55.725,414.368,60.364
0.360,0.038,0.200,33.569,396.545,61.096
0.460,0.110,0.064,10.620,375.183,55.542
0.532,0.135,-0.027,-5.920,353.455,44.006
0.587,0.161,-0.070,-15.076,328.857,28.381
0.616,0.177,-0.104,-15.198,303.040,10.986
0.611,0.156,-0.192,-8.301,279.602,-5.676
0.593,0.097,-0.306,1.160,254.883,-18.860
0.600,0.031,-0.423,10.010,228.333,-26.184
0.592,-0.025,-0.525,16.663,200.806,-27.710
0.605,-0.059,-0.590,20.325,173.950,-24.231
0.616,-0.060,-0.572,19.043,149.353,-17.212
0.640,-0.041,-0.549,14.587,129.700,-9.521

-0.644,-0.311,2.093,-58.411,-615.173,28.564
-0.562,-0.320,2.535,-90.149,-557.251,67.444
-0.286,0.022,3.133,-134.094,-485.229,110.352
-0.032,0.320,3.308,-145.447,-376.038,130.188
0.033,0.427,3.059,-106.262,-264.343,118.042
-0.020,0.407,2.741,-47.241,-195.129,85.266
-0.114,0.292,2.377,12.085,-155.579,49.011
-0.224,0.150,1.993,55.359,-124.939,24.292
-0.291,0.073,1.733,65.674,-101.868,16.296
-0.300,0.080,1.589,52.917,-85.449,18.494
-0.269,0.138,1.517,37.476,-74.341,21.790
-0.200,0.185,1.435,30.151,-66.956,19.653
-0.119,0.206,1.385,28.076,-63.477,12.146
-0.037,0.190,1.361,26.367,-58.411,2.869
0.024,0.172,1.355,23.071,-49.072,-4.272
0.053,0.159,1.358,18.127,-35.400,-8.911
0.050,0.135,1.301,13.916,-20.081,-11.353
0.035,0.120,1.215,11.719,-6.104,-12.085
0.020,0.124,1.148,9.827,4.211,-12.146
0.002,0.120,1.086,9.644,11.230,-12.573
-0.020,0.099,1.026,9.888,15.747,-13.123
-0.028,0.073,1.007,7.568,18.494,-12.634
-0.014,0.081,1.062,1.587,21.057,-10.315
-0.008,0.094,1.097,-2.441,26.855,-8.423
-0.019,0.100,1.087,-3.052,35.278,-8.606
-0.046,0.093,1.062,-2.869,43.335,-10.681
-0.060,0.071,1.023,-4.028,50.659,-12.695
-0.062,0.066,1.011,-7.324,55.542,-12.817
-0.084,0.067,1.046,-11.353,55.603,-12.024
-0.087,0.039,1.088,-12.573,53.406,-11.230
-0.061,0.022,1.153,-12.146,53.955,-9.155
-0.038,0.025,1.220,-11.719,59.631,-5.676
-0.020,0.016,1.257,-10.498,69.092,-2.930
0.027,0.034,1.300,-9.766,79.224,-0.671
0.098,0.038,1.392,-10.071,91.309,-0.183
0.180,0.032,1.544,-10.193,108.887,-2.197
0.265,0.055,1.802,-9.521,134.827,-4.883
0.306,0.149,2.042,-5.493,176.147,-9.338
0.233,0.218,2.085,10.193,233.948,-19.836
0.212,0.278,1.974,32.959,295.593,-37.415
0.064,0.254,1.755,53.833,342.896,-57.129
-0.059,0.125,1.557,65.674,370.789,-71.838
-0.096,0.078,1.539,60.364,390.564,-75.500
-0.070,0.036,1.575,49.011,408.020,-72.693
-0.031,0.019,1.583,43.335,426.758,-65.491
-0.045,0.035,1.401,42.175,451.050,-58.350
-0.096,0.028,1.030,40.100,468.933,-52.307
-0.005,0.014,0.682,29.663,468.628,-46.936
0.109,0.052,0.536,11.292,451.721,-44.128
0.217,0.042,0.396,1.343,427.002,-45.105
0.315,0.017,0.309,1.831,401.062,-48.523
0.378,-0.008,0.294,5.615,376.587,-51.758
0.426,-0.032,0.269,14.343,358.398,-53.711
0.445,-0.072,0.135,27.344,344.604,-53.345
0.445,-0.110,-0.051,37.415,328.979,-50.537
0.471,-0.153,-0.231,39.124,306.946,-44.739
0.497,-0.187,-0.400,32.898,278.992,-35.706
0.533,-0.200,-0.485,20.935,246.887,-25.146
0.586,-0.199,-0.499,8.850,213.745,-13.916
0.636,-0.187,-0.474,3.174,183.838,-5.127

-1.115,-0.068,2.865,-67.627,-604.492,90.088
-0.829,0.004,3.347,-87.280,-532.227,106.018
-0.630,0.165,3.501,-97.595,-417.542,123.108
-0.516,0.354,3.293,-94.543,-301.453,128.723
-0.483,0.549,3.009,-86.609,-210.144,115.356
-0.470,0.524,2.653,-72.815,-158.264,89.966
-0.517,0.418,2.447,-62.073,-131.470,60.608
-0.500,0.304,2.280,-57.007,-106.018,38.757
-0.455,0.234,2.146,-52.246,-78.735,27.893
-0.367,0.221,2.049,-42.358,-55.603,23.499
-0.264,0.236,1.938,-21.973,-36.133,20.020
-0.161,0.256,1.765,5.676,-17.273,15.686
-0.072,0.283,1.569,31.677,-0.427,11.292
-0.018,0.339,1.397,48.828,12.207,6.042
-0.019,0.377,1.216,58.594,21.729,-1.160
-0.048,0.380,1.048,60.120,28.870,-8.789
-0.066,0.361,0.924,51.331,33.142,-14.099
-0.075,0.342,0.883,33.569,35.889,-16.296
-0.062,0.307,0.892,14.954,36.865,-16.846
-0.054,0.273,0.948,1.953,37.354,-17.334
-0.046,0.241,0.991,-2.686,37.354,-18.188
-0.040,0.223,1.010,0.061,38.147,-18.555
-0.036,0.205,1.006,6.287,39.063,-18.555
-0.029,0.203,1.009,12.512,40.222,-17.822
-0.029,0.215,1.024,16.479,41.992,-16.418
-0.028,0.225,1.018,19.226,44.617,-16.418
-0.036,0.228,1.013,20.203,46.936,-18.188
-0.049,0.221,1.004,19.531,48.584,-20.935
-0.065,0.205,0.989,16.357,50.171,-23.987
-0.079,0.177,0.984,10.193,52.063,-26.428
-0.083,0.145,0.978,2.686,53.589,-27.527
-0.082,0.111,0.993,-4.272,54.504,-27.100
-0.074,0.076,1.026,-9.277,55.969,-25.391
-0.056,0.056,1.071,-10.925,57.861,-22.461
-0.036,0.055,1.091,-9.094,61.035,-18.982
-0.011,0.057,1.087,-4.150,65.369,-15.930
0.027,0.058,1.122,1.343,68.481,-14.160
0.071,0.080,1.188,5.615,72.815,-12.390
0.106,0.109,1.231,9.827,81.909,-11.047
0.150,0.155,1.283,12.085,93.750,-11.597
0.173,0.209,1.327,12.390,107.727,-14.832
0.161,0.215,1.298,14.832,124.512,-21.301
0.166,0.186,1.309,15.686,139.404,-28.442
0.234,0.177,1.455,12.207,153.076,-33.752
0.303,0.175,1.690,9.949,174.133,-39.185
0.362,0.187,1.906,16.113,208.008,-46.570
0.359,0.217,2.023,30.823,252.258,-56.396
0.261,0.272,1.976,50.537,303.467,-68.665
0.134,0.268,1.715,69.885,352.844,-79.895
0.019,0.174,1.389,80.383,387.878,-87.341
-0.018,0.106,1.145,74.036,406.860,-89.111
0.019,0.060,1.012,57.190,413.086,-86.121
0.053,-0.036,1.000,40.771,412.964,-80.627
0.165,-0.069,1.158,28.503,412.537,-72.144
0.193,-0.051,1.116,25.452,420.227,-65.308
0.170,-0.030,0.891,31.677,429.077,-64.026
0.164,-0.020,0.597,37.964,427.612,-65.491
0.204,-0.046,0.301,38.940,416.382,-64.819
0.242,-0.088,0.062,32.593,395.203,-61.829
0.286,-0.155,-0.133,24.475,367.004,-54.810

0.482,0.188,2.232,-17.334,-238.831,50.110
0.497,0.174,2.216,-15.564,-178.894,40.283
0.455,0.120,2.054,-13.550,-130.188,32.227
0.404,0.073,1.869,-19.470,-98.022,29.114
0.402,0.058,1.722,-34.119,-77.576,30.701
0.407,0.072,1.598,-50.537,-65.186,37.109
0.464,0.153,1.630,-64.209,-64.880,46.143
0.531,0.243,1.727,-68.665,-69.519,48.401
0.569,0.289,1.746,-56.519,-67.078,39.246
0.546,0.263,1.591,-31.433,-58.777,25.940
0.504,0.223,1.405,-9.216,-56.091,15.503
0.484,0.211,1.300,3.479,-57.861,10.071
0.500,0.228,1.316,9.399,-59.875,7.507
0.535,0.255,1.386,11.658,-57.983,5.188
0.571,0.273,1.479,12.939,-49.744,1.099
0.565,0.261,1.471,14.893,-34.851,-3.784
0.545,0.236,1.393,16.968,-16.296,-7.874
0.517,0.219,1.310,14.832,0.122,-9.705
0.516,0.215,1.236,9.888,13.672,-9.460
0.488,0.210,1.163,4.089,23.987,-8.362
0.470,0.206,1.092,-1.160,31.250,-6.653
0.469,0.212,1.054,-5.493,33.447,-4.456
0.479,0.232,1.052,-7.263,35.278,-3.723
0.487,0.239,1.049,-6.104,37.598,-4.456
0.485,0.240,1.033,-4.089,39.307,-5.920
0.480,0.226,1.010,-1.587,40.955,-8.057
0.475,0.211,0.998,1.099,43.335,-9.827
0.479,0.201,0.993,3.662,44.922,-11.108
0.471,0.189,0.987,7.263,46.875,-12.390
0.455,0.167,0.979,11.536,49.316,-13.489
0.469,0.165,0.999,13.184,50.903,-13.977
0.464,0.158,1.001,12.268,54.077,-14.221
0.467,0.142,1.004,10.376,58.533,-14.465
0.494,0.141,1.054,7.080,62.378,-14.587
0.514,0.145,1.078,5.798,68.665,-14.893
0.515,0.131,1.067,7.446,76.477,-16.479
0.526,0.116,1.065,9.644,82.764,-18.005
0.524,0.105,1.057,11.963,88.501,-19.104
0.538,0.085,1.098,14.648,94.788,-19.348
0.580,0.100,1.188,17.090,102.295,-18.860
0.588,0.097,1.269,21.423,114.197,-19.592
0.617,0.092,1.355,26.184,130.676,-21.362
0.678,0.115,1.505,29.114,151.245,-23.132
0.678,0.117,1.559,34.363,179.993,-28.442
0.635,0.084,1.446,42.419,212.891,-35.278
0.586,0.078,1.264,46.326,239.014,-39.185
0.544,0.057,1.048,45.166,254.700,-40.710
0.540,0.028,0.855,39.490,261.108,-39.307
0.562,-0.039,0.776,31.006,258.911,-36.194
0.608,-0.037,0.819,23.987,254.456,-31.677
0.625,-0.019,0.776,23.254,254.395,-29.114
0.615,-0.026,0.616,27.954,256.531,-28.381
0.622,-0.035,0.464,29.175,253.845,-27.222
0.645,-0.037,0.369,25.085,245.911,-25.696
0.651,-0.054,0.285,20.386,236.206,-24.109
0.672,-0.062,0.272,16.602,225.891,-22.339
0.690,-0.042,0.274,15.564,217.346,-21.301
0.695,-0.037,0.245,19.897,212.952,-21.912
0.684,-0.018,0.179,24.292,209.961,-23.376
0.669,-0.041,0.037,26.428,206.482,-24.658

-0.655,0.210,3.049,-10.986,-627.686,113.464
-0.378,0.204,3.528,18.127,-565.002,124.573
-0.176,0.375,3.587,29.358,-444.092,122.314
-0.106,0.519,3.262,23.376,-316.589,113.342
-0.085,0.659,2.881,7.080,-221.680,99.121
-0.131,0.678,2.587,-11.169,-161.133,75.806
-0.184,0.569,2.389,-27.405,-123.596,47.363
-0.237,0.408,2.277,-41.687,-99.670,25.818
-0.262,0.285,2.180,-50.903,-78.674,14.709
-0.228,0.222,2.055,-50.903,-56.763,12.451
-0.126,0.230,1.899,-40.833,-38.330,13.977
-0.068,0.250,1.747,-23.193,-29.419,14.648
-0.008,0.268,1.650,-4.028,-29.053,12.634
0.071,0.278,1.517,14.038,-23.193,9.827
0.136,0.298,1.365,27.405,-10.864,8.057
0.183,0.341,1.275,31.494,1.221,5.981
0.190,0.363,1.179,31.921,11.902,0.671
0.178,0.352,1.094,30.884,20.508,-6.348
0.142,0.318,1.038,27.100,25.757,-13.733
0.103,0.274,1.005,22.827,27.832,-19.104
0.087,0.238,0.985,19.592,29.846,-21.851
0.069,0.204,0.962,17.822,31.677,-22.583
0.059,0.169,0.964,15.991,33.447,-21.545
0.056,0.157,0.987,13.672,35.095,-19.348
0.055,0.155,0.992,11.902,36.621,-16.418
0.053,0.152,0.995,10.742,37.598,-14.038
0.063,0.160,1.032,9.521,38.025,-11.475
0.072,0.174,1.078,8.301,39.490,-9.460
0.075,0.175,1.096,8.301,42.969,-8.972
0.086,0.175,1.117,7.751,47.058,-9.216
0.089,0.174,1.129,6.348,50.598,-10.437
0.097,0.159,1.143,4.150,53.528,-13.123
0.116,0.152,1.186,1.770,57.007,-16.357
0.118,0.145,1.233,2.136,63.171,-20.752
0.135,0.137,1.269,7.080,71.960,-24.536
0.139,0.141,1.293,13.733,81.543,-27.893
0.129,0.107,1.273,21.179,92.285,-30.945
0.149,0.100,1.281,26.184,101.929,-31.128
0.170,0.102,1.296,29.785,112.549,-29.602
0.213,0.115,1.361,31.982,124.146,-28.809
0.257,0.152,1.429,32.593,139.099,-28.992
0.272,0.151,1.438,33.569,158.081,-31.067
0.303,0.157,1.456,32.776,179.932,-33.752
0.326,0.160,1.486,31.067,203.430,-38.269
0.330,0.122,1.469,31.555,228.271,-44.250
0.346,0.087,1.510,33.142,251.953,-49.255
0.372,0.062,1.588,36.255,275.635,-52.429
0.364,0.028,1.617,42.175,303.345,-55.481
0.272,0.066,1.667,47.241,334.778,-58.655
0.180,0.048,1.467,53.589,363.586,-59.204
0.117,-0.003,1.098,57.068,381.042,-56.580
0.151,-0.038,0.747,49.377,384.155,-50.659
0.236,-0.078,0.502,33.020,373.962,-43.274
0.346,-0.047,0.423,11.536,357.361,-37.598
0.417,-0.034,0.355,-5.737,340.393,-35.522
0.482,-0.049,0.397,-15.442,324.280,-36.560
0.538,-0.027,0.481,-18.433,312.683,-39.978
0.542,-0.030,0.429,-10.681,309.021,-46.265
0.504,-0.081,0.197,-0.366,305.969,-52.551
0.453,-0.149,-0.071,3.174,294.067,-53.894

-0.423,0.324,2.290,-9.094,-502.258,64.819
-0.269,0.270,2.478,-20.020,-447.571,68.604
-0.133,0.318,2.832,-32.776,-387.207,75.928
0.062,0.483,3.116,-45.532,-319.763,82.336
0.229,0.662,3.188,-43.884,-237.488,73.914
0.236,0.688,2.946,-23.621,-154.724,47.668
0.139,0.601,2.637,-1.038,-89.783,16.663
0.020,0.466,2.322,11.169,-44.250,-6.409
-0.043,0.341,2.024,14.343,-14.221,-18.372
-0.076,0.250,1.824,10.437,1.343,-20.630
-0.053,0.215,1.729,6.287,6.165,-19.897
0.011,0.197,1.677,8.484,6.897,-18.921
0.076,0.185,1.627,17.090,10.132,-20.142
0.132,0.178,1.543,27.527,17.395,-22.034
0.165,0.170,1.413,34.851,28.198,-23.926
0.175,0.160,1.264,36.072,39.551,-24.658
0.182,0.150,1.151,30.762,48.767,-24.597
0.188,0.142,1.083,22.766,55.420,-24.170
0.181,0.123,1.034,16.052,60.364,-23.743
0.177,0.100,1.004,11.414,64.270,-23.071
0.164,0.089,0.989,8.118,66.284,-21.301
0.158,0.077,0.966,7.507,67.627,-19.043
0.154,0.087,0.953,7.874,67.505,-17.395
0.140,0.089,0.938,8.667,65.796,-16.113
0.143,0.070,0.984,8.179,64.026,-14.954
0.181,0.084,1.080,5.676,63.660,-12.939
0.198,0.099,1.140,5.127,68.787,-11.719
0.213,0.101,1.162,7.324,77.393,-12.634
0.216,0.101,1.171,8.911,86.182,-14.954
0.237,0.090,1.177,10.254,95.459,-17.944
0.218,0.077,1.215,9.827,105.957,-20.996
0.201,0.025,1.204,8.423,118.286,-21.484
0.203,-0.042,1.183,5.615,130.859,-16.724
0.234,-0.055,1.248,-0.854,143.616,-9.521
0.262,-0.060,1.313,-3.662,158.020,-3.662
0.302,-0.041,1.390,-0.671,175.232,-0.305
0.331,-0.005,1.426,7.568,195.435,0.488
0.358,0.021,1.398,18.127,215.393,-2.380
0.335,0.048,1.289,25.513,234.009,-7.629
0.321,0.036,1.217,25.879,245.422,-13.489
0.337,0.041,1.217,18.188,251.160,-16.724
0.364,-0.026,1.240,8.240,260.071,-19.653
0.422,0.001,1.389,-3.967,275.208,-21.118
0.527,0.079,1.506,-9.583,296.265,-24.902
0.573,0.168,1.622,-5.310,321.167,-32.532
0.513,0.181,1.512,8.301,350.647,-43.640
0.411,0.133,1.293,21.545,379.211,-53.772
0.358,0.098,0.976,27.649,401.550,-57.739
0.289,0.080,0.653,23.682,410.217,-57.312
0.240,0.041,0.316,10.864,401.794,-54.749
0.290,-0.027,-0.018,-3.540,380.737,-47.607
0.339,-0.070,-0.284,-16.052,352.478,-40.649
0.413,-0.113,-0.437,-19.775,316.284,-33.997
0.462,-0.118,-0.510,-11.963,275.513,-29.663
0.493,-0.106,-0.574,2.075,237.427,-26.367
0.511,-0.085,-0.644,13.489,203.613,-23.376
0.532,-0.055,-0.651,15.991,172.607,-21.240
0.562,-0.018,-0.601,11.841,145.874,-20.447
0.568,-0.016,-0.551,9.033,124.878,-22.217
0.595,-0.021,-0.515,10.559,108.154,-24.475

-0.628,0.230,2.546,-44.189,-392.151,102.783
-0.520,0.392,2.822,-57.129,-334.229,101.929
-0.456,0.469,2.892,-61.157,-265.625,89.905
-0.448,0.458,2.883,-60.974,-204.041,67.810
-0.430,0.392,2.845,-58.411,-154.114,45.410
-0.424,0.332,2.791,-52.063,-109.863,27.100
-0.417,0.261,2.674,-38.879,-68.542,12.939
-0.402,0.214,2.484,-20.386,-33.325,2.808
-0.356,0.207,2.260,-1.709,-7.019,-2.991
-0.283,0.210,2.000,16.907,11.353,-7.690
-0.215,0.215,1.759,32.959,23.437,-11.841
-0.144,0.235,1.536,43.518,31.250,-13.977
-0.066,0.251,1.335,48.340,36.926,-14.832
0.005,0.260,1.182,46.509,40.039,-15.625
0.046,0.275,1.073,40.527,42.664,-16.785
0.076,0.281,1.006,32.898,44.312,-18.616
0.088,0.265,0.969,25.696,44.250,-21.301
0.089,0.241,0.947,19.836,43.457,-23.499
0.099,0.225,0.940,15.320,43.396,-23.621
0.098,0.218,0.941,12.573,43.396,-22.522
0.099,0.216,0.936,11.963,43.762,-21.179
0.102,0.220,0.925,12.512,43.457,-19.775
0.101,0.220,0.937,12.329,42.786,-19.409
0.099,0.227,0.975,10.559,43.213,-19.226
0.098,0.228,1.020,7.446,45.776,-18.738
0.094,0.234,1.071,4.272,49.194,-20.081
0.096,0.223,1.137,1.465,52.551,-23.376
0.107,0.211,1.227,-0.793,58.105,-27.039
0.115,0.203,1.305,-1.160,67.749,-30.640
0.104,0.195,1.331,0.305,80.688,-33.997
0.088,0.171,1.285,4.028,94.421,-37.109
0.050,0.149,1.216,7.568,104.492,-39.185
0.033,0.116,1.159,9.460,109.985,-39.307
0.042,0.087,1.148,8.118,111.938,-36.987
0.069,0.063,1.157,4.639,113.647,-32.166
0.117,0.059,1.198,0.854,116.089,-26.489
0.213,0.058,1.356,-1.709,121.582,-21.545
0.318,0.103,1.562,-1.892,134.827,-18.433
0.374,0.135,1.721,5.432,161.865,-20.081
0.390,0.185,1.790,17.151,200.012,-26.123
0.368,0.235,1.728,28.625,240.662,-36.499
0.287,0.224,1.572,37.537,275.940,-48.523
0.211,0.181,1.352,39.429,300.781,-57.251
0.159,0.101,1.184,33.875,313.843,-60.547
0.206,0.028,1.138,23.437,318.604,-56.946
0.276,0.027,1.179,12.573,322.632,-49.988
0.319,0.052,1.154,7.751,332.153,-45.654
0.352,0.060,1.151,8.911,344.116,-46.204
0.372,0.083,1.106,13.123,354.980,-49.866
0.375,0.096,1.038,18.921,364.075,-55.725
0.377,0.088,0.919,25.635,372.864,-61.890
0.351,0.051,0.714,30.945,378.540,-67.322
0.325,-0.004,0.459,32.410,376.465,-69.641
0.344,-0.071,0.241,27.893,364.075,-67.200
0.386,-0.093,0.067,18.738,343.506,-60.547
0.422,-0.113,-0.009,8.057,321.350,-53.345
0.449,-0.133,-0.055,1.221,301.697,-46.448
0.465,-0.164,-0.166,1.587,284.302,-39.307
0.467,-0.172,-0.286,4.578,266.602,-32.410
0.478,-0.173,-0.419,8.301,247.559,-24.414

-0.658,0.120,3.213,3.357,-604.004,72.021
-0.304,0.104,3.711,11.963,-510.925,63.416
-0.118,0.117,3.711,24.231,-382.019,55.298
-0.128,0.158,3.405,31.372,-262.512,51.758
-0.182,0.239,3.043,23.132,-167.542,43.335
-0.115,0.277,2.672,2.014,-95.215,30.579
-0.092,0.259,2.425,-25.024,-49.805,18.250
-0.129,0.201,2.362,-50.659,-33.875,6.226
-0.116,0.131,2.319,-57.739,-23.682,-2.258
-0.076,0.080,2.195,-43.762,-9.155,-6.531
-0.017,0.085,2.030,-19.958,2.869,-7.629
0.050,0.128,1.852,3.662,11.414,-8.301
0.130,0.178,1.653,23.682,17.944,-10.132
0.186,0.214,1.470,34.607,25.574,-12.939
0.223,0.229,1.310,34.851,33.936,-15.747
0.220,0.231,1.207,27.710,40.466,-18.494
0.215,0.217,1.153,18.250,43.396,-20.935
0.219,0.199,1.127,11.108,45.959,-22.583
0.220,0.179,1.125,6.775,49.011,-23.437
0.213,0.162,1.117,4.395,52.246,-23.010
0.212,0.152,1.108,2.258,56.641,-21.301
0.208,0.160,1.118,-0.183,61.462,-19.653
0.209,0.164,1.158,-2.075,65.613,-18.738
0.203,0.162,1.191,-2.380,70.740,-19.409
0.207,0.151,1.216,-2.502,76.782,-20.447
0.207,0.131,1.253,-3.113,84.412,-21.118
0.223,0.115,1.316,-3.418,93.628,-21.118
0.243,0.113,1.376,-2.197,105.164,-20.996
0.248,0.123,1.411,1.221,119.751,-22.705
0.217,0.110,1.373,5.554,134.827,-26.245
0.190,0.074,1.300,8.118,145.081,-29.663
0.204,0.040,1.256,7.507,151.917,-29.724
0.240,0.016,1.273,5.005,158.203,-27.649
0.288,0.018,1.289,3.784,166.199,-24.963
0.309,0.015,1.278,4.639,177.673,-22.766
0.315,-0.008,1.238,6.226,189.941,-20.691
0.357,-0.016,1.231,6.653,201.538,-17.151
0.394,-0.002,1.240,5.859,214.661,-13.245
0.391,-0.003,1.189,6.226,230.225,-10.498
0.391,-0.017,1.102,6.042,245.117,-7.812
0.396,-0.018,1.024,3.540,254.578,-4.639
0.411,0.009,0.957,-0.854,258.911,-2.380
0.437,0.023,0.877,-5.920,257.812,-1.160
0.464,0.019,0.870,-12.512,254.700,-1.221
0.519,0.028,0.893,-19.470,253.357,-0.977
0.544,0.031,0.838,-23.315,255.310,-1.465
0.552,0.003,0.831,-26.001,259.827,-2.502
0.567,-0.005,0.793,-31.128,266.174,-2.625
0.544,-0.039,0.659,-36.987,273.132,-1.709
0.552,-0.067,0.563,-48.340,278.625,2.136
0.572,-0.049,0.493,-62.195,280.029,7.019
0.584,-0.042,0.386,-70.923,277.405,9.644
0.589,-0.034,0.286,-72.449,272.034,9.583
0.595,-0.002,0.198,-69.580,262.817,6.165
0.576,0.007,0.049,-60.608,251.709,1.831
0.567,0.004,-0.063,-51.697,238.281,-2.319
0.582,0.025,-0.117,-46.753,221.375,-5.737
0.576,0.045,-0.189,-42.053,206.848,-9.277
0.563,0.035,-0.303,-37.598,195.801,-13.000
0.555,0.011,-0.402,-36.377,182.739,-15.625

-0.409,-0.140,2.324,-16.235,-416.748,35.278
-0.486,0.010,2.727,-17.517,-370.117,41.138
-0.380,0.091,2.785,-8.484,-301.392,38.025
-0.356,0.093,2.659,-1.099,-233.093,29.846
-0.530,0.059,2.669,-6.104,-184.937,18.433
-0.443,-0.021,2.557,-14.587,-142.761,21.606
-0.391,-0.032,2.551,-26.184,-108.215,25.085
-0.358,-0.054,2.621,-33.569,-78.186,22.217
-0.208,0.132,2.614,-19.958,-52.368,21.545
-0.248,-0.001,2.454,3.967,-24.231,12.451
-0.156,0.019,2.289,16.479,-0.793,7.690
-0.095,0.049,2.093,24.353,21.301,6.958
0.010,0.105,1.898,23.132,40.283,6.714
0.034,0.053,1.679,18.066,56.580,5.920
0.154,0.161,1.556,6.958,71.045,6.165
0.189,0.163,1.474,-2.075,81.909,3.052
0.218,0.167,1.405,-8.301,93.018,0.122
0.197,0.153,1.330,-7.629,102.783,-2.991
0.221,0.162,1.254,-2.991,109.985,-4.211
0.238,0.171,1.229,2.075,117.065,-4.700
0.257,0.177,1.195,6.042,124.512,-6.592
0.250,0.170,1.166,7.996,132.507,-9.460
0.259,0.162,1.124,9.338,138.611,-11.536
0.207,0.147,1.110,9.888,142.822,-13.428
0.210,0.145,1.065,10.437,145.508,-13.794
0.157,0.132,1.054,10.864,144.836,-12.634
0.177,0.119,1.051,9.644,140.564,-10.803
0.233,0.090,1.040,6.287,136.414,-9.888
0.198,0.043,1.138,0.671,135.498,-9.216
0.213,0.010,1.168,-2.808,137.878,-4.517
0.229,-0.024,1.168,-8.057,144.592,-3.296
0.253,-0.037,1.196,-10.803,150.330,0.366
0.274,-0.060,1.163,-10.132,153.137,0.244
0.294,-0.080,1.161,-8.301,155.273,0.793
0.245,-0.099,1.164,-9.766,157.104,1.160
0.376,-0.074,1.063,-7.812,159.485,7.141
0.404,-0.073,0.981,-6.287,161.560,7.385
0.396,-0.089,0.940,-8.911,162.598,6.042
0.422,-0.096,0.923,-10.803,163.818,7.568
0.448,-0.111,0.945,-10.986,167.053,9.460
0.447,-0.127,0.994,-9.705,173.279,11.658
0.489,-0.059,1.015,-6.653,183.777,15.137
0.512,-0.025,0.959,-0.488,198.120,16.235
0.507,-0.003,0.887,2.563,212.341,14.160
0.529,0.047,0.822,-0.671,223.999,11.230
0.536,0.077,0.791,-5.920,234.436,7.874
0.538,0.087,0.754,-11.597,244.751,3.845
0.535,0.117,0.799,-19.226,254.944,-0.671
0.579,0.107,0.707,-23.499,263.245,-5.798
0.564,0.109,0.681,-28.137,270.020,-13.428
0.563,0.101,0.664,-30.823,278.748,-20.020
0.528,0.081,0.635,-31.799,292.175,-25.818
0.552,0.153,0.696,-31.982,307.800,-30.579
0.511,0.159,0.555,-18.066,319.702,-35.950
0.426,0.142,0.288,-6.714,329.285,-42.053
0.403,0.115,0.026,-6.287,330.383,-45.166
0.422,0.056,-0.197,-11.169,320.862,-45.654
0.443,0.001,-0.362,-14.160,305.115,-44.128
0.457,-0.042,-0.488,-8.423,284.363,-41.748
0.489,-0.037,-0.522,7.629,259.216,-38.452

0.322,0.054,2.515,9.521,-302.063,2.197
0.497,0.012,2.918,13.062,-258.423,-0.061
0.593,0.013,3.220,3.479,-199.402,-0.183
0.701,0.011,3.300,-1.160,-148.010,-2.869
0.813,0.003,3.195,-0.427,-101.929,-9.033
0.862,-0.051,2.964,2.380,-63.965,-16.052
0.883,-0.113,2.664,2.197,-36.560,-19.531
0.889,-0.135,2.377,-3.296,-15.015,-16.357
0.891,-0.097,2.120,-9.888,2.747,-10.742
0.896,-0.036,1.855,-11.414,18.127,-6.836
0.872,0.010,1.598,-7.080,31.128,-6.165
0.836,0.029,1.327,1.160,44.189,-9.399
0.785,0.020,1.055,10.437,51.880,-12.634
0.750,0.023,0.865,17.029,49.072,-12.207
0.745,0.042,0.788,18.005,41.565,-9.460
0.756,0.074,0.776,15.625,35.278,-6.470
0.763,0.098,0.750,13.794,33.813,-4.395
0.753,0.101,0.712,12.512,34.363,-3.052
0.748,0.116,0.709,11.597,34.180,-1.648
0.742,0.131,0.710,11.536,34.058,-0.793
0.720,0.128,0.707,11.658,33.752,-0.366
0.704,0.120,0.736,9.888,32.959,0.305
0.694,0.111,0.795,7.507,32.104,1.587
0.692,0.109,0.854,4.333,33.203,3.357
0.688,0.105,0.893,1.282,36.499,4.395
0.682,0.107,0.919,-0.305,41.321,4.822
0.672,0.098,0.942,-0.732,46.204,4.272
0.671,0.081,0.962,-0.122,51.147,2.197
0.661,0.057,0.961,1.282,56.091,-0.244
0.645,0.018,0.929,3.540,60.974,-1.770
0.639,-0.021,0.914,5.188,64.819,-2.502
0.633,-0.050,0.921,5.676,68.909,-1.709
0.635,-0.071,0.912,5.676,73.608,-0.122
0.642,-0.084,0.918,5.798,78.735,2.197
0.644,-0.093,0.936,5.432,84.900,4.089
