aX,aY,aZ,gX,gY,gZ
0.284,0.977,0.365,-27.222,-7.141,-62.927
0.291,0.996,0.358,-28.198,-4.333,-66.223
0.299,1.004,0.346,-30.884,-1.465,-69.458
0.301,1.008,0.320,-33.752,1.282,-71.838
0.308,1.022,0.297,-36.682,3.601,-72.815
0.313,1.042,0.279,-39.673,4.028,-73.730
0.321,1.072,0.265,-42.419,2.991,-75.012
0.342,1.133,0.250,-44.556,2.686,-75.928
0.368,1.202,0.254,-45.837,2.441,-79.041
0.388,1.254,0.252,-45.654,2.136,-86.365
0.392,1.280,0.237,-44.312,2.380,-97.046
0.390,1.280,0.228,-43.274,2.563,-109.131
0.389,1.267,0.213,-43.152,2.869,-120.972
0.383,1.249,0.203,-45.044,2.991,-131.958
0.377,1.223,0.200,-49.194,2.686,-141.846
0.376,1.197,0.193,-54.016,3.174,-149.963
0.376,1.175,0.191,-59.204,4.150,-156.616
0.384,1.154,0.182,-64.148,4.395,-162.720
0.383,1.123,0.180,-68.909,3.784,-169.189
0.391,1.105,0.211,-74.158,2.930,-175.537
0.414,1.105,0.245,-77.698,3.540,-181.946
0.430,1.120,0.278,-78.186,6.165,-190.552
0.443,1.126,0.288,-76.965,9.277,-202.393
0.421,1.110,0.262,-74.280,12.207,-217.102
0.388,1.033,0.223,-73.364,12.207,-231.140
0.354,0.952,0.208,-75.500,8.728,-242.432
0.344,0.870,0.219,-79.285,4.700,-249.634
0.348,0.797,0.256,-82.214,1.953,-253.723
0.358,0.748,0.273,-83.252,0.916,-256.592
0.371,0.698,0.281,-82.520,1.770,-259.338

-0.192,2.164,0.284,67.688,13.611,242.187
-0.072,2.255,0.248,51.331,14.648,230.164
0.114,2.352,0.303,33.630,21.790,204.773
0.229,2.348,0.339,27.161,23.987,160.950
0.233,2.264,0.309,32.593,28.015,107.361
0.203,2.109,0.225,43.579,32.043,62.012
0.157,1.962,0.142,50.110,31.311,30.212
0.139,1.844,0.089,48.828,22.278,12.207
0.114,1.747,0.068,41.931,8.484,3.540
0.120,1.669,0.082,29.297,0.122,-0.793
0.147,1.622,0.105,14.587,-1.709,-4.822
0.160,1.577,0.122,2.075,-1.648,-12.268
0.167,1.533,0.127,-6.104,-1.953,-22.522
0.168,1.470,0.137,-12.146,-3.784,-33.691
0.166,1.394,0.151,-16.968,-7.263,-45.044
0.159,1.311,0.161,-20.142,-10.315,-55.542
0.152,1.222,0.169,-23.010,-11.780,-64.026
0.149,1.153,0.176,-25.208,-11.963,-69.580
0.150,1.098,0.181,-27.710,-11.719,-72.632
0.157,1.054,0.197,-30.518,-12.268,-72.998
0.170,1.018,0.224,-33.630,-13.611,-72.266
0.191,1.000,0.238,-36.133,-14.404,-70.923
0.191,0.983,0.256,-38.391,-14.038,-69.824
0.207,0.985,0.278,-40.405,-12.207,-68.604
0.224,1.004,0.284,-40.527,-10.010,-67.627
