aX,aY,aZ,gX,gY,gZ
0.361,-0.742,0.069,76.111,26.367,199.341
0.378,-0.692,0.048,74.829,27.893,207.092
0.399,-0.616,0.009,77.026,28.625,213.440
0.422,-0.569,-0.009,79.529,27.649,217.590
0.445,-0.498,-0.010,79.468,23.010,219.421
0.470,-0.425,-0.002,79.346,18.921,219.055
0.494,-0.375,0.000,79.285,16.113,216.919
0.511,-0.340,0.000,81.360,15.442,214.600
0.525,-0.304,-0.001,84.045,14.099,210.693
0.555,-0.255,-0.008,89.050,14.709,206.848
0.579,-0.183,-0.027,95.337,15.442,203.735
0.605,-0.107,-0.023,99.670,15.076,199.951
0.638,0.001,-0.016,103.027,14.038,195.679

-1.333,-1.447,1.141,25.635,-191.284,-573.914
-1.398,-2.187,1.293,28.992,-162.720,-560.852
-1.457,-3.034,1.508,-14.893,-117.310,-508.606
-1.474,-3.713,1.676,-83.008,-58.411,-412.292
-1.320,-4.000,1.665,-135.437,5.005,-283.325
-1.022,-3.936,1.442,-158.875,52.979,-160.767
-0.778,-3.660,1.162,-159.485,70.679,-78.308
-0.565,-3.376,0.942,-139.832,62.927,-35.034
-0.364,-3.067,0.767,-100.769,38.940,-16.479
-0.161,-2.788,0.551,-49.744,13.611,-10.071
0.043,-2.543,0.280,-5.859,-1.404,-6.287
0.207,-2.323,0.035,15.808,-5.920,0.732
0.313,-2.104,-0.123,18.066,-3.784,15.198
0.390,-1.909,-0.213,13.855,-0.671,34.912
0.434,-1.702,-0.220,9.094,-0.305,51.086
0.457,-1.542,-0.178,8.850,-2.625,58.960
0.454,-1.435,-0.109,14.099,-5.920,57.861
0.430,-1.376,-0.030,22.888,-9.216,51.880
0.382,-1.350,0.050,33.447,-12.512,43.945
0.328,-1.353,0.113,43.518,-16.174,37.292
0.269,-1.372,0.182,50.293,-19.897,34.119
0.208,-1.410,0.268,51.086,-22.827,34.912
0.159,-1.446,0.353,47.607,-24.109,39.978
0.118,-1.445,0.424,43.579,-22.949,49.072
0.089,-1.417,0.458,41.504,-18.188,60.974
0.062,-1.369,0.461,41.077,-12.329,72.693
0.045,-1.313,0.445,39.734,-7.996,82.214
0.037,-1.258,0.424,38.757,-4.700,89.905
0.040,-1.204,0.391,40.710,-2.014,95.459
0.038,-1.187,0.357,44.189,-0.488,98.450
0.044,-1.179,0.333,47.607,-0.061,100.586
0.047,-1.188,0.314,52.490,0.183,103.210
0.059,-1.191,0.289,58.228,-0.488,106.079
0.068,-1.206,0.255,64.392,-0.549,110.840
0.081,-1.208,0.241,67.871,-1.343,117.310
0.098,-1.203,0.223,69.946,-1.465,125.671
0.120,-1.171,0.204,68.970,-1.404,137.268
0.141,-1.119,0.187,65.552,0.793,150.940
0.159,-1.085,0.187,59.753,1.282,162.720
0.185,-1.051,0.189,54.688,0.732,171.387
0.213,-1.038,0.171,49.988,-0.305,180.359
0.234,-0.996,0.155,44.800,0.488,191.528
0.260,-0.928,0.142,39.673,2.014,201.111
0.280,-0.866,0.148,35.034,4.150,208.557
0.305,-0.803,0.149,30.090,6.470,211.731
0.327,-0.771,0.135,27.222,10.681,212.158
0.339,-0.753,0.127,24.963,12.756,209.900
0.356,-0.764,0.126,25.024,13.855,206.604
0.374,-0.751,0.120,27.344,12.817,203.979
0.392,-0.712,0.103,32.715,11.108,203.369
0.414,-0.662,0.093,38.025,9.277,204.651
0.430,-0.612,0.076,42.358,9.277,207.642
0.439,-0.545,0.063,42.908,9.399,211.365
0.457,-0.469,0.052,42.114,10.620,214.783
0.474,-0.407,0.059,42.114,11.902,216.187
0.490,-0.347,0.071,42.603,11.902,215.027
0.525,-0.276,0.076,43.518,13.000,210.205
0.559,-0.194,0.062,46.875,13.245,203.979
0.598,-0.105,0.018,52.612,14.343,199.524
0.648,-0.004,-0.026,57.617,15.381,197.632

-1.291,-2.151,0.612,-109.680,-94.543,-459.167
-1.253,-2.536,1.062,-155.701,-77.698,-385.254
-1.106,-2.658,1.343,-147.583,-52.429,-313.843
-0.980,-2.677,1.333,-91.736,-26.733,-267.822
-0.999,-2.872,1.180,-30.762,-6.531,-250.793
-1.031,-3.091,0.966,-2.502,7.080,-232.727
-0.991,-3.255,0.776,-2.991,18.616,-193.787
-0.889,-3.261,0.651,-15.808,22.827,-140.930
-0.720,-3.100,0.528,-24.780,20.386,-84.351
-0.547,-2.836,0.394,-25.513,14.954,-34.241
-0.376,-2.526,0.245,-22.156,8.911,2.991
-0.199,-2.239,0.089,-17.334,3.906,29.724
-0.030,-1.974,-0.052,-12.329,-0.061,50.232
0.098,-1.732,-0.152,-8.484,-4.333,64.819
0.190,-1.533,-0.197,-5.493,-8.728,73.486
0.258,-1.370,-0.193,-3.296,-13.977,75.806
0.309,-1.255,-0.161,-0.793,-20.386,72.083
0.339,-1.193,-0.093,2.869,-27.100,64.026
0.336,-1.197,0.012,8.118,-33.203,52.856
0.298,-1.232,0.118,16.113,-37.354,41.809
0.248,-1.297,0.218,26.184,-38.330,33.691
0.203,-1.331,0.290,35.522,-37.354,29.907
0.157,-1.346,0.327,41.077,-33.325,31.921
0.116,-1.357,0.342,40.833,-26.123,39.063
0.079,-1.345,0.349,34.302,-19.531,49.133
0.044,-1.336,0.349,26.733,-13.977,60.120
0.010,-1.316,0.358,22.339,-9.399,69.946
-0.010,-1.285,0.348,21.973,-8.301,76.355
-0.026,-1.267,0.328,26.306,-7.507,80.505
-0.033,-1.255,0.316,31.006,-9.338,82.336
-0.035,-1.247,0.299,36.011,-11.169,83.740
-0.026,-1.246,0.285,41.443,-12.390,86.182
-0.031,-1.264,0.277,44.922,-13.367,90.088
-0.014,-1.269,0.256,44.006,-13.794,97.412
-0.013,-1.279,0.251,40.894,-12.756,107.788
-0.008,-1.297,0.267,38.025,-12.024,117.981
0.004,-1.303,0.264,38.879,-13.000,127.563
0.022,-1.288,0.241,42.603,-14.282,138.855
0.048,-1.238,0.222,44.861,-13.550,151.367
0.072,-1.182,0.204,45.166,-13.123,162.964
0.094,-1.130,0.194,44.373,-12.634,172.607
0.113,-1.088,0.187,42.725,-12.634,179.932
0.142,-1.083,0.180,41.382,-12.512,186.646
0.152,-1.058,0.183,38.330,-12.878,191.956
0.177,-1.044,0.179,35.706,-11.841,197.937
0.199,-1.018,0.175,32.471,-9.277,205.383
0.209,-0.991,0.187,28.076,-7.568,211.731
0.234,-1.011,0.223,25.574,-5.066,215.515
0.251,-0.987,0.233,25.879,-5.127,216.919
0.274,-0.932,0.204,31.616,-3.174,218.933
0.299,-0.860,0.157,37.842,0.610,221.436
0.307,-0.803,0.121,41.626,3.723,221.863
0.323,-0.761,0.112,43.396,4.150,219.971
0.320,-0.740,0.108,44.861,2.136,215.210
0.335,-0.700,0.090,44.312,0.732,211.914
0.356,-0.646,0.083,43.396,2.258,211.609
0.396,-0.563,0.078,45.654,4.761,213.440
0.458,-0.440,0.042,52.246,5.676,219.543
0.511,-0.301,0.025,58.777,3.967,227.661
0.554,-0.139,0.012,61.218,0.183,236.206

-1.268,-1.879,0.697,-73.181,-149.536,-501.038
-1.278,-2.486,1.057,-86.792,-131.348,-453.552
-1.219,-2.931,1.245,-95.581,-101.624,-390.808
-1.137,-3.200,1.236,-98.022,-66.223,-321.594
-0.984,-3.314,1.160,-95.398,-38.818,-248.352
-0.809,-3.292,1.102,-91.919,-28.076,-186.523
-0.611,-3.150,0.985,-84.229,-29.114,-136.719
-0.436,-2.937,0.904,-71.960,-30.396,-95.520
-0.287,-2.691,0.832,-55.237,-30.212,-64.758
-0.132,-2.463,0.726,-32.104,-30.396,-45.227
-0.001,-2.256,0.570,-5.859,-27.771,-32.654
0.107,-2.069,0.390,16.663,-23.010,-22.217
0.205,-1.933,0.227,30.334,-19.226,-12.573
0.287,-1.821,0.124,34.546,-16.724,-1.770
0.343,-1.717,0.078,31.982,-14.771,10.132
0.359,-1.631,0.078,27.344,-12.939,22.217
0.359,-1.578,0.097,21.240,-9.460,32.654
0.344,-1.538,0.125,14.771,-5.920,41.016
0.315,-1.523,0.158,11.108,-3.723,47.729
0.279,-1.523,0.211,12.207,-2.808,52.979
0.240,-1.523,0.254,18.860,-3.418,57.434
0.188,-1.528,0.292,28.870,-3.357,62.317
0.142,-1.550,0.336,37.170,-4.333,66.956
0.100,-1.555,0.367,42.236,-5.066,72.998
0.072,-1.560,0.383,46.448,-2.686,82.947
0.052,-1.523,0.365,50.903,1.282,95.154
0.059,-1.465,0.311,53.467,3.479,107.849
0.062,-1.393,0.285,51.880,4.883,120.911
0.078,-1.329,0.290,46.509,4.150,132.202
0.096,-1.265,0.299,43.091,4.333,142.395
0.119,-1.179,0.294,42.786,3.662,149.902
0.131,-1.131,0.294,46.326,4.272,154.480
0.149,-1.095,0.303,49.988,4.333,156.372
0.181,-1.068,0.290,53.833,5.310,158.508
0.187,-1.036,0.280,57.983,8.362,162.109
0.197,-1.040,0.258,59.692,10.986,164.856
